ano,artista,faixa,genero1,id
2009,"Kew, Dj LK da Escócia",Descer,funk,33
2018,Lady Gaga,Born this way,pop,232
2018,"Lady Gaga, Bruno Mars",Die With A Smile,pop,153
1986,Legião Urbana,Tempo Perdido,mpb,103
2018,Legião Urbana,Que país é este,rock,212
2017,Léo Foguete,Última Noite - Solo,forró,61
2020,Liniker,CAJU,mpb,120
2020,Lizzo,Boys,pop,169
2006,Los Hermanos,Ana Julia,rock,220
2018,Lourena,Dizeres,mpb,199
2023,Lourena,Outro dia,hip-hop,208
2019,"Luan Santana, Léo Foguete",DONA,forró,62
2017,Ludmilla,Saudade da Gente,pagode,82
2019,Ludmilla,Falta de mim,pagode,95
2015,Ludmilla,Todo mundo louco,hip-hop,126
2019,Ludmilla,Maliciosa,pagode,182
2022,Ludmilla,A preta venceu,pagode,183
2023,Luísa Sonza,Chico,mpb,110
2017,"Luisa sonza, Demi Lovato",Penhasco 2,mpb,196
2018,"Luisa sonza, Emília",bunda,pop,151
2024,"Luísa Sonza, KayBlack",Sagrado Profano,hip-hop,129
1992,Luiz Gonzaga,Pagode Russo,forró,179
2020,"Mad Dogz, Felipe Amorim",Love Love + Eu,forró,74
2024,Magic,Rude,pop,238
2020,Maiara & Maraisa,Narcisista - Ao Vivo,sertanejo ,18
2024,Maneskin,I WANNA BE YOUR SLAVE,rock,144
2023,Maneskin,Coraline,rock,226
2021,Marcelo D2,Qual E,rock,221
2021,Mariah Carey,All I Want for Christmas Is You,pop,164
2023,Marília Mendonça,O Que É Amor Pra Você - Ao Vivo,sertanejo ,1
2018,Marina Sena ,Por Supuesto,mpb,197
2020,Maroon 5,Moves like Jagger,pop,231
2013,Marvvila,A pagodeira,pagode,91
2022,Matuê,Crack com Mussilon,hip-hop,123
2024,Matuê,Reza do Milhão,hip-hop,125
2023,Matuê,A morte do autotune,hip-hop,201
2021,MC Cabelinho,EU TE AVISEI,hip-hop,128
2022,"MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Mc Kako",A Danada Me Ligando,funk,58
2023,"MC GP, MC Jvila, MC LUUKY, Dj Yuri Pedrada",300 no 7,funk,40
2019,"Mc IG, MC Ryan SP, DJ Glenner, Mc Poze do Rodo, Oruam",Filha do Deputado,funk,57
2025,"MC Joãozinho VT, MC Tuto, Deejhay RB",Vida de Artista,funk,53
2022,"MC Jvila, Mc Negão Original, DJ Dael",Pirocada Quente,funk,35
2020,"MC Kevinho, Mc Davi",Elas Gostam,funk,49
1999,"Mc Lele JP, MC Marks, MC Leozinho ZS, MC Joãozinho VT",Eu sou Cantor Não Sou Bandido,funk,52
2021,"Mc Livinho, DJ TOPO",MTG PASSA PASSA PRA EU SARRAR,funk,41
2003,MC Loma e As Gêmeas Lacração,Envolvimento,funk,50
1990,"MC LUUKY, Oldilla",Nem Ligo Pro Amor,funk,55
2017,"Mc Negão Original, DJ Guh Mix, DJ Japa NK",Medley de Igaratá 3,funk,60
2003,"Mc Pikachu, MC Fioti, Novo Império",Vai Toma,funk,46
2010,"MC Tuto, DJ Glenner",Barbie,funk,44
1980,"MC Tuto, Grelo",Do Job,funk,54
2025,"Mc Vitão, DENNIS",Olha o Gás - Dennis Remix,funk,45
2024,"MC WM, Os Cretinos",Qual Bumbum Mais Bate,funk,47
2024,MC's Jhowzinho & Kadinho,Agora Vai Sentar,funk,51
2024,"MD Chefe, L7NNON, Offlei Sounds, PL Quest",Fragrância - Remix (feat. PL Quest),hip-hop,136
2024,Melim,Dois Corações,mpb,104
2024,Melim,Eu Feat. Você,mpb,107
2022,Michel Teló,Meu Vício - Ao Vivo,sertanejo ,15
2024,Moliy,Shake it to the max,pop,163
2025,"Murilo Huff, Maiara & Maraisa",Perfeito Pra Ficar Sozinho - Ao Vivo,sertanejo ,20
2024,Nadson O Ferinha,Na Ponta do Pé,sertanejo ,12
2000,NATTAN,Eu Confiei Em Ti,forró,71
2024,Nattanzinho Lima,Uma e Quinze da Manhã,forró,77
2024,"Nilo, Mc Paiva ZS, DJ Di Marques, FamousKyo",Fui Mlk,funk,43
1994,Nitro,Joga essa bola,rock,214
2024,NX Zero,Cedo ou tarde,rock,216
2024,O Rappa,Anjos,rock,217
1957,Oasis,Wonderwall - Remastered,rock,149
2020,Os 3 do Nordeste,É proibido cochilar,forró,80
2019,Os Barões Da Pisadinha,Meia Noite (Ce Tem Meu Whatsapp) - Ao Vivo,sertanejo ,11
2025,Os Barões Da Pisadinha,Basta você me ligar,forró,173
2024,Os garotin,Zero a cem,mpb,190
2025,Os paralamas do sucesso,Meu erro,rock,225
2020,"Papatinho, Anitta, Dfideliz, BIN",Tá com o Papato (feat. BIN),hip-hop,122
2023,Pato Fu,Ando meio desligado,rock,222
2020,"PEDRO SAMPAIO, Marina Sena",ESCADA DO PRÉDIO,funk,39
2020,Péricles,Nosso Amor Quer Paz - Ao Vivo,pagode,87
2024,Péricles,Até que durou,pagode,97
1982,Pineaple Storm,Poesia acustica #3,hip-hop,206
1947,Pitty,equalize,rock,145
2025,Pitty,Me adora,rock,219
2025,Planet Hemp,Mantenha o respeito,rock,223
2024,Prettos,O show tem que continuar,pagode,187
2024,Priscilla,Você é um perigo,mpb,193
2003,Queen,Another One Bites The Dust - Remastered 2011,rock,150
2009,Raí Saia Rodada,Tapão Na Raba,forró,79
1991,Raimundos,Mulher de fases,rock,218
2023,Raul Seixas,Metamorfose ambulante,rock,213
1998,Reginaldo Rossi,Ai Amor,sertanejo ,27
1996,"Rennan da Penha, Anitta",SexToU,funk,48
2023,Rihanna,This is what you came for,pop,235
2023,Rihanna,Only girl,pop,236
2023,Rionegro & Solimões,Vida de Cão - Ao Vivo,sertanejo ,21
2021,Roberta Campos,Minha Felicidade,mpb,114
2023,"ROSÉ, Bruno Mars",APT.,pop,155
2019,"Rubel, ANAVITÓRIA",Partilhar,mpb,113
2023,Sabrina Carpenter,Espresso,pop,152
2021,"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),pop,156
2017,"Silva, Anitta",Fica Tudo Bem,mpb,109
2018,Simone Mendes,Me Ama Ou Me Larga - Ao Vivo,sertanejo ,24
2020,Skank,Algo Parecido,mpb,101
2018,Skillet,Psycho in my head,rock,230
2025,Sorriso Maroto,O Impossível,pagode ,10
2018,Sorriso maroto,clichê,pagode,96
2024,Spice Girls,Wannabe,pop,234
2024,Suel,Vitamina C,pagode,98
2024,Supernova Ent,"Adora a bunda,mas odeia o rosto",hip-hop,204
2023,"Tarcísio do Acordeon, Marcynho Sensação",Rolê,forró,68
2019,"Tarcísio do Acordeon, Vitor Fernandes",Nêga,forró,72
2020,Tate McRae,Sports car,pop,159
2002,Taylor Swift,Shake it off,pop,233
2005,Teto,Fashion,hip-hop,127
1987,Teto,Yes or No,hip-hop,202
1973,The beatles,Now and then,rock,229
2025,"The Weeknd, Anitta",São Paulo (feat. Anitta),pop,166
1985,Thiago Brava,Já convenci - Ao vivo,sertanejo ,16
2008,Thiaguinho,Energia Surreal - Ao Vivo,pagode,88
2013,Thiaguinho ,Pé na areia,pagode,81
1999,Tiago Iorc,Tangerina,mpb,195
2009,"Tierry, Gusttavo Lima",Acertou Na Mosca,sertanejo ,5
1999,Tribalistas,Aliança,mpb,112
2003,Turma do Pagode,Só um Pagode - Ao Vivo,pagode,85
2001,Turma do Pagode,Cobertor de Orelha - Ao Vivo,pagode,86
1995,Twenty One Pilots,Level of Concern,rock,142
2005,Twenty One Pilots,The contract,rock,227
1984,UM44K,Nossa música,mpb,119
2021,"UM44K, Luan Otten, Ferrugem",Falso amor,mpb,115
2025,Vitinho Imperador,Volta Rapariga,forró,65
2023,Vitor Lima,Meu jeito de amar,pagode,181
2023,Wesley Safadão,Eu Já Tava Bem - Ao Vivo,sertanejo ,13
2022,Wesley Safadão,Seis Cordas,forró,66
2010,Wesley Safadão,Quatro semanas,forró,170
2011,"Wesley Safadão, Natanzinho Lima",Mentira Estampada,sertanejo ,2
2014,Xamã,Luxuria,hip-hop,203
1996,"Xamã, Agnes Nunes, Neo Beats, Bagua Records",Escorpião,hip-hop,131
2016,Xand Avião,Casal Raiz - Ao Vivo,forró,73
2010,XANDDY HARMONIA,Vamo ou Bora?,mpb,117
2010,Zé Neto e Cristiano,Seu policia,sertanejo ,28
2013,Zé Vaqueiro,Eu Tenho Medo,forró,67
2013,Zé Vaqueiro,Leticia,forró,175
2013,"Zé Vaqueiro, João gomes",Arriadin por tu,forró,171
2010,Zeeba,Te dizer que sim,mpb,192
2024,Zezo,Decida,sertanejo ,29
